"name","result.year","state","TSFO","change.status"
"Accipiter henstii",2008,2,14,"U"
"Accipiter henstii",2012,2,18,"U"
"Accipiter henstii",2016,2,22,"U"
"Accipiter hiogaster",2014,1,0,"U"
"Accipiter hiogaster",2016,1,2,"U"
"Accipiter imitator",1994,4,0,"U"
"Accipiter imitator",1996,4,2,"U"
"Accipiter imitator",2000,3,6,"U"
"Accipiter imitator",2004,3,10,"U"
"Accipiter imitator",2008,3,14,"U"
"Accipiter imitator",2012,3,18,"U"
"Accipiter imitator",2016,3,22,"U"
"Accipiter luteoschistaceus",1994,2,0,"U"
"Accipiter luteoschistaceus",2000,3,6,"U"
"Accipiter luteoschistaceus",2004,3,10,"U"
"Accipiter luteoschistaceus",2008,3,14,"U"
"Accipiter luteoschistaceus",2012,3,18,"U"
"Accipiter luteoschistaceus",2016,3,22,"U"
