"name","result.year","result.code","result.category"
"Incilius peripatetes","2004","CR","Critically Endangered"
"Indigofera ankaratrensis","2017","CR","Critically Endangered"
"Indigofera ankaratrensis","2016","CR","Critically Endangered"
"Indigofera suarezensis","2012","CR","Critically Endangered"
"Indirana gundia","2004","CR","Critically Endangered"
"Indirana phrynoderma","2004","CR","Critically Endangered"
"Indolestes boninensis","1996","CR","Critically Endangered"
"Indolestes boninensis","1994","R","Rare"
"Indri indri","2014","CR","Critically Endangered"
"Indri indri","2008","EN","Endangered"
"Indri indri","2000","EN","Endangered"
"Indri indri","1996","EN","Endangered"
"Indri indri","1994","E","Endangered"
"Indri indri","1990","E","Endangered"
"Indri indri","1988","E","Endangered"
"Indri indri","1986","E","Endangered"
"Indri indri","1965",NA,"""Very rare and believed to be decreasing in numbers"""
"Inflectarius magazinensis","2000","CR","Critically Endangered"
"Inflectarius magazinensis","1996","DD","Data Deficient"
"Inflectarius magazinensis","1994","I","Indeterminate"
"Inflectarius magazinensis","1990","I","Indeterminate"
"Inflectarius magazinensis","1988","I","Indeterminate"
"Inflectarius magazinensis","1986","I","Indeterminate"
"Inga enterolobioides","1998","CR","Critically Endangered"
"Ingerana charlesdarwini","2004","CR","Critically Endangered"
"Ingolfiella longipes","1996","CR","Critically Endangered"
"Insuetophrynus acarpicus","2010","CR","Critically Endangered"
"Insuetophrynus acarpicus","2004","CR","Critically Endangered"
"Insuetophrynus acarpicus","1996","VU","Vulnerable"
"Insuetophrynus acarpicus","1994","E","Endangered"
"Iranodon gorganensis","2009","CR","Critically Endangered"
"Iranodon gorganensis","2004","CR","Critically Endangered"
"Iranodon gorganensis","2000","VU","Vulnerable"
"Iranodon gorganensis","1996","VU","Vulnerable"
"Iris antilibanotica","2016","CR","Critically Endangered"
"Iris atropurpurea","2016","CR","Critically Endangered"
"Iris boissieri","2011","CR","Critically Endangered"
"Iris cedreti","2016","CR","Critically Endangered"
"Iris cedreti","1998","E","Endangered"
"Iris damascena","2016","CR","Critically Endangered"
"Iryanthera megistocarpa","1998","CR","Critically Endangered"
"Iryanthera megistocarpa","1998","V","Vulnerable"
"Isachne meeboldii","2011","CR","Critically Endangered"
"Isachne veldkampii","2011","CR","Critically Endangered"
"Ischaemum jayachandranii","2011","CR","Critically Endangered"
"Ischnothyrella jivani","2014","CR","Critically Endangered"
"Islamia anatolica","2015","CR","Critically Endangered"
"Islamia anatolica","2011","CR","Critically Endangered"
"Islamia bendidis","2011","CR","Critically Endangered"
"Islamia bunarbasa","2011","CR","Critically Endangered"
"Islamia hadei","2011","CR","Critically Endangered"
"Islamia pseudorientalica","2014","CR","Critically Endangered"
"Islamia zermanica","2011","CR","Critically Endangered"
"Isodendrion laurifolium","2015","CR","Critically Endangered"
"Isodendrion pyrifolium","2016","CR","Critically Endangered"
"Isoetes dispora","2016","CR","Critically Endangered"
"Isoetes hewitsonii","2016","CR","Critically Endangered"
"Isoetes malinverniana","2017","CR","Critically Endangered"
"Isoetes nigroreticulata","2010","CR","Critically Endangered"
"Isoetes olympica","2010","CR","Critically Endangered"
"Isoetes sinensis","2004","CR","Critically Endangered"
"Isoetes taiwanensis","2004","CR","Critically Endangered"
"Isoetes wormaldii","2010","CR","Critically Endangered"
"Isoglossa asystasioides","2015","CR","Critically Endangered"
"Isoglossa namuliensis","2017","CR","Critically Endangered"
"Isogomphodon oxyrhynchus","2006","CR","Critically Endangered"
"Isophya boldyrevi","2016","CR","Critically Endangered"
"Isophya doneciana","2016","CR","Critically Endangered"
"Isophya harzi","1996","VU","Vulnerable"
"Isophya harzi","1994","R","Rare"
"Isoplexis chalcantha","2011","CR","Critically Endangered"
"Isthmohyla angustilineata","2008","CR","Critically Endangered"
"Isthmohyla angustilineata","2004","CR","Critically Endangered"
"Isthmohyla calypsa","2004","CR","Critically Endangered"
"Isthmohyla debilis","2008","CR","Critically Endangered"
"Isthmohyla debilis","2004","CR","Critically Endangered"
"Isthmohyla graceae","2014","CR","Critically Endangered"
"Isthmohyla graceae","2008","CR","Critically Endangered"
"Isthmohyla graceae","2004","CR","Critically Endangered"
"Isthmohyla insolita","2004","CR","Critically Endangered"
"Isthmohyla rivularis","2010","CR","Critically Endangered"
"Isthmohyla rivularis","2008","CR","Critically Endangered"
"Isthmohyla rivularis","2004","CR","Critically Endangered"
"Isthmohyla tica","2013","CR","Critically Endangered"
"Isthmohyla tica","2008","CR","Critically Endangered"
"Isthmohyla tica","2004","CR","Critically Endangered"
"Isthmura gigantea","2008","CR","Critically Endangered"
"Isthmura gigantea","2004","EN","Endangered"
"Isthmura naucampatepetl","2016","CR","Critically Endangered"
